nombre,director,anio,resumen,poster
Titanic,James Cameron,1997,La historia de amor de un joven pobre y una mujer rica en el famoso naufragio del Titanic,https://upload.wikimedia.org/wikipedia/en/1/18/Titanic_%281997_film%29_poster.png
Rapidos y Furiosos: La Comunidad del Anillo,Peter Jackson,2001,Un grupo de seres se unen para destruir un poderoso anillo y evitar que caiga en manos de un malvado señor oscuro,https://lumiere-a.akamaihd.net/v1/images/rapidoyfuriosos_a5bd819d.png
El Rey León,Rob Minkoff y Roger Allers,1994,Un joven león se enfrenta a la responsabilidad de ser rey y proteger a su familia de un malvado tío,https://m.media-amazon.com/images/M/MV5BNDIzMDk4Y2ItOTNjNS00Mzg5LTlhYWItYTQzOTA4ZWM1MWJhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg
La La Land,Damien Chazelle,2016,Un músico y una actriz se enamoran mientras intentan triunfar en Hollywood,https://m.media-amazon.com/images/M/MV5BZjZlNWQwOWYtZmVkYi00NDlkLTk4NWQtMDAzNWM1ZjdkYjA1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg
Forrest Gump,Robert Zemeckis,1994,La vida de un hombre con discapacidad intelectual que logra grandes hazañas sin darse cuenta,https://m.media-amazon.com/images/M/MV5BNjhmZmNmNTYtMmQ5MC00ZmZhLTk0YzMtYWZiNTlmMjM1ZDhjXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg
Harry Potter y la Piedra Filosofal,Chris Columbus,2001,Un niño descubre que es un mago y se une a una escuela de magia,"https://m.media-amazon.com/images/M/MV5BMzFiZjhjODUtMWJhZi00ZDk5LThjY2ItZjNjYjc0OGVjY2FmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY562_CR9,0,380,562_.jpg"
Star Wars: Episodio IV - Una Nueva Esperanza,George Lucas,1977,Un joven granjero se une a la lucha contra un imperio galáctico malvado,https://m.media-amazon.com/images/M/MV5BZDM5OTAwMGQtYTYwMS00OGQyLTg4YTctNWFjMGY1ODFkMjkwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX500_.jpg
El Curioso Caso de Benjamin Button,David Fincher,2008,Un hombre nace viejo y rejuvenece a medida que envejece el resto del mundo,https://www.funeralnatural.net/sites/default/files/pelicula/imagen/el_curioso_caso_de_benjamin.jpg
Jurassic Park,Steven Spielberg,1993,Un empresario crea un parque temático con dinosaurios vivos pero cuando las criaturas escapan los visitantes luchan por sobrevivir,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_.jpg
Indiana Jones,Steven Spielberg,1981,Un arqueólogo aventurero busca el Arca de la Alianza antes de que caiga en manos de los nazis,https://www.themoviedb.org/t/p/original/hCnGMEfZcXiuCc8DD3BYnbrtnTQ.jpg
El Gran Hotel Budapest,Wes Anderson,2014,Un conserje y su protegido se involucran en un robo y una conspiración en un hotel europeo durante la década de 1930,https://www.blogartesvisuales.net/wp-content/uploads/2014/05/grand-budapest-hotel-poster.jpg
El Caballero de la Noche,Christopher Nolan,2008,Batman debe luchar contra un villano despiadado que busca sumir a Gotham City en el caos,https://m.media-amazon.com/images/M/MV5BZjE1YmM4ZjYtMDQ3YS00OWIwLWJmZDItMmRhN2U3ZjE3ZTQ1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg
El Padrino,Francis Ford Coppola,1972,El patriarca de una familia mafiosa transfiere el control a su hijo más joven pero el cambio no es fácil ni pacífico,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
Forrest Gump,Robert Zemeckis,1994,Forrest Gump  un hombre con discapacidad intelectual vive una vida llena de aventuras y encuentros con figuras históricas famosas,https://upload.wikimedia.org/wikipedia/sco/6/67/Forrest_Gump_poster.jpg
El Señor de los Anillos,Peter Jackson,2001,Frodo Bolsón y sus amigos deben llevar un anillo mágico a través de un peligroso territorio para destruirlo y salvar al mundo,https://s3-eu-west-1.amazonaws.com/abandomedia/dbs/foto/dbs_3414_87.jpg
Tiburón,Steven Spielberg,1975,Un gran tiburón blanco amenaza una comunidad costera y un equipo de cazadores de tiburones es contratado para matarlo,https://mewmagazine.es/wp-content/uploads/2021/01/tiburon-pelicula.jpg
El Club de la Pelea,David Fincher,1999,Un hombre descontento y sin rumbo se une a un club de lucha clandestino y conoce a un hombre carismático y peligroso,https://beersandpolitics.com/wp-content/uploads/2017/01/club-de-la-lucha.jpg
El Resplandor,Stanley Kubrick,1980,Un hombre es contratado para cuidar un hotel aislado durante el invierno y comienza a experimentar visiones aterradoras,"https://m.media-amazon.com/images/I/71JXOnCirNL._AC_UF894,1000_QL80_.jpg"
Rocky,John G. Avildsen,1976,Un boxeador desconocido es seleccionado para enfrentarse al campeón mundial de boxeo,https://m.media-amazon.com/images/M/MV5BNWIyNmQyNjctYmVmMS00MGI4LWIxMmUtNjA0ODYzOTA0Yjk0L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg
E.T.  el extraterrestre,Steven Spielberg,1982,Un niño solitario hace amistad con un extraterrestre amigable y trata de ayudarlo a regresar a su hogar mientras es perseguido por las autoridades,https://i0.wp.com/wvw.verepeliculas.com/wp-content/uploads/2015/04/ET-El-Extraterrestre.jpg?fit=683%2C1024&ssl=1
Star Wars,George Lucas,1977,Un joven granjero se une a la rebelión para rescatar a una princesa y combatir el Imperio Galáctico,http://4.bp.blogspot.com/-UXKiGpM1g2s/UWsNeVDBriI/AAAAAAAAARg/-ru2WTf8q08/s1600/STAR+WARS+4+UNA+NUEVA+ESPERANZA.jpg
Terminator 2,James Cameron,1991,Un androide avanzado es enviado al pasado para proteger a un niño que es clave en la lucha contra las máquinas,https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
El Pianista,Roman Polanski,2002,Un pianista judío polaco sobrevive a la Segunda Guerra Mundial y la ocupación nazi de Varsovia,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
Pulp Fiction,Quentin Tarantino,1994,La vida de varios personajes se entrelazan en una serie de historias violentas y humorísticas,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
El Silencio de los Inocentes,Jonathan Demme,1991,Un agente del FBI busca la ayuda de un asesino en serie encarcelado para capturar a otro asesino en serie,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
El Gran Lebowski,Joel Coen,1998,Un perezoso vagabundo es confundido con un millonario y se ve envuelto en una serie de situaciones absurdas,https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_.jpg
Jojo Rabbit, Taika Waititi,2019, Un niño en la Alemania nazi tiene a Adolf Hitler como amigo imaginario hasta que descubre que su madre esconde a una niña judía en su casa.,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg
Blade Runner, Ridley Scott,1982, Un agente especial es contratado para retirar a unos robots rebeldes en Los Ángeles en el año 2019.,https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
Cómo entrenar a tu dragón, Dean DeBlois,2010, Un joven vikingo y un dragón herido forman una inesperada amistad y juntos luchan para defender sus hogares de una amenaza que pone en peligro a ambos mundos.,https://m.media-amazon.com/images/M/MV5BODhiNTFiZDYtMGU3My00MGUzLTg2MDUtOWViMjViYTExMDViXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg
Goodfellas, Martin Scorsese,1990, La historia real de Henry Hill un hombre que asciende en la mafia y todo lo que debe hacer para mantener su posición en la jerarquía del crimen organizado.,https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
The Shawshank Redemption, Frank Darabont,1994, Un banquero es sentenciado a cadena perpetua por el asesinato de su esposa y su amante. En la cárcel forma una amistad inesperada con un convicto negro y aprende a sobrevivir en la prisión de Shawshank.,http://www.interinclusion.org/wp-content/uploads/2012/12/220px-Inception_ver3-202x300.jpg
Inception, Christopher Nolan,2010,Un ladrón especializado en el robo de información valiosa a través de los sueños es contratado para llevar a cabo una misión casi imposible: plantar una idea en la mente de un empresario multimillonario a través de sus sueños.,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg
Eternal Sunshine of the Spotless Mind, Michel Gondry,2004, Joel y Clementine deciden borrar sus recuerdos mutuos después de que su relación fracasa. Pero mientras el proceso avanza Joel se arrepiente y lucha por mantener algunos recuerdos de su tiempo con Clementine.,http://image.tmdb.org/t/p/w500/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
